MEASURE,REGION_TYPE,ASGS_2021,FREQ,TIME_PERIOD,value
ERP,SA2,203011035,A,2021,8074
ERP,SA2,203011035,A,2022,8231
ERP,SA2,203011035,A,2023,8444
ERP,SA2,203011035,A,2024,8732
ERP,SA2,203011035,A,2025,8954
ERP,SA2,203031048,A,2016,13593
ERP,SA2,203031048,A,2017,14150
ERP,SA2,203031048,A,2018,14763
ERP,SA2,203031048,A,2019,15580
ERP,SA2,203031048,A,2020,16143
ERP,SA2,203031048,A,2021,16729
ERP,SA2,203031048,A,2022,17105
ERP,SA2,203031048,A,2023,17494
ERP,SA2,203031048,A,2024,17695
ERP,SA2,203031048,A,2025,17912
ERP,SA2,204011062,A,2016,3606
ERP,SA2,204011062,A,2017,3698
ERP,SA2,204011062,A,2018,3803
ERP,SA2,204011062,A,2019,3907
ERP,SA2,204011062,A,2020,4019
ERP,SA2,204011062,A,2021,4142
ERP,SA2,204011062,A,2022,4251
ERP,SA2,204011062,A,2023,4288
ERP,SA2,204011062,A,2024,4331
ERP,SA2,204011062,A,2025,4368
ERP,SA2,204021065,A,2016,3907
ERP,SA2,204021065,A,2017,3934
ERP,SA2,204021065,A,2018,3976
ERP,SA2,204021065,A,2019,4012
ERP,SA2,204021065,A,2020,4029
ERP,SA2,204021065,A,2021,4021
ERP,SA2,204021065,A,2022,4024
ERP,SA2,204021065,A,2023,4075
ERP,SA2,204021065,A,2024,4108
ERP,SA2,204021065,A,2025,4120
ERP,SA2,205011078,A,2016,7828
ERP,SA2,205011078,A,2017,7985
ERP,SA2,205011078,A,2018,8060
ERP,SA2,205011078,A,2019,8110
ERP,SA2,205011078,A,2020,8169
ERP,SA2,205011078,A,2021,8319
ERP,SA2,205011078,A,2022,8442
ERP,SA2,205011078,A,2023,8473
ERP,SA2,205011078,A,2024,8563
ERP,SA2,205011078,A,2025,8618
ERP,SA2,205051103,A,2016,14891
ERP,SA2,205051103,A,2017,14914
ERP,SA2,205051103,A,2018,14988
ERP,SA2,205051103,A,2019,15075
ERP,SA2,205051103,A,2020,15173
ERP,SA2,205051103,A,2021,15264
ERP,SA2,205051103,A,2022,15258
ERP,SA2,205051103,A,2023,15275
ERP,SA2,205051103,A,2024,15270
ERP,SA2,205051103,A,2025,15232
ERP,SA2,206031115,A,2016,10734
ERP,SA2,206031115,A,2017,10666
ERP,SA2,206031115,A,2018,10654
ERP,SA2,206031115,A,2019,10460
ERP,SA2,206031115,A,2020,10270
ERP,SA2,206031115,A,2021,9181
ERP,SA2,206031115,A,2022,9143
ERP,SA2,206031115,A,2023,9729
ERP,SA2,206031115,A,2024,10215
ERP,SA2,206031115,A,2025,9935
ERP,SA2,206071140,A,2016,9058
ERP,SA2,206071140,A,2017,9026
ERP,SA2,206071140,A,2018,9025
ERP,SA2,206071140,A,2019,8994
ERP,SA2,206071140,A,2020,8899
ERP,SA2,206071140,A,2021,8290
ERP,SA2,206071140,A,2022,8114
ERP,SA2,206071140,A,2023,8486
ERP,SA2,206071140,A,2024,8678
ERP,SA2,206071140,A,2025,8828
ERP,SA2,207011519,A,2016,11364
ERP,SA2,207011519,A,2017,11356
ERP,SA2,207011519,A,2018,11280
ERP,SA2,207011519,A,2019,11076
ERP,SA2,207011519,A,2020,10862
ERP,SA2,207011519,A,2021,10017
ERP,SA2,207011519,A,2022,10017
ERP,SA2,207011519,A,2023,10524
ERP,SA2,207011519,A,2024,10759
ERP,SA2,207011519,A,2025,10910
ERP,SA2,207031166,A,2016,10772
ERP,SA2,207031166,A,2017,10840
ERP,SA2,207031166,A,2018,10898
ERP,SA2,207031166,A,2019,10974
ERP,SA2,207031166,A,2020,11053
ERP,SA2,207031166,A,2021,10774
ERP,SA2,207031166,A,2022,11074
ERP,SA2,207031166,A,2023,11862
ERP,SA2,207031166,A,2024,12323
ERP,SA2,207031166,A,2025,12460
ERP,SA2,208021181,A,2016,9809
ERP,SA2,208021181,A,2017,9894
